vma1_256_SGVB,vma1_256_VNPC,vma1_512_SGVB,vma1_512_VNPC,vma1_1024_SGVB,vma1_1024_VNPC
168.1534567,4729.97331,230.8542945,6930.443459,175.1089926,12156.69503
149.8500125,4363.817812,189.8101029,6651.565097,225.6272469,14131.35321
173.6958268,4408.167957,193.1300421,7003.564749,207.6812503,11317.13199
169.3680241,4067.975896,197.3942554,7089.829145,184.8955743,13128.46454
166.1110926,4245.877051,200.6654489,7337.664829,222.37432,14657.70521
172.7738929,4037.324555,177.9184785,6536.582747,178.2959399,11290.70825
175.1046698,4225.857021,183.5891809,7570.44186,192.7073233,11995.2286
188.9423802,4075.971718,161.4942422,6872.014394,208.5378773,16237.0317
203.7840528,4421.335069,204.1410589,7894.757303,214.6667414,13474.82044
172.4468369,4918.360642,276.5567508,6553.732902,236.2231865,10977.48486
181.3322632,4170.801758,201.8640304,6344.456435,184.9030342,10934.48376
150.1516802,5037.932624,236.2798767,6867.778799,226.7733345,11647.07667
192.2643089,4244.228925,207.8255587,7037.039007,214.0856864,12367.67818
251.6144235,4194.493014,161.2240005,7067.088045,187.3137553,11176.54691
169.6017008,5178.613947,191.9056292,6883.866227,210.0743053,13711.9852
200.3372118,3383.161963,245.7027929,6359.312154,319.2138987,13916.10536
218.5524521,4077.239842,227.8485465,7971.912156,235.7127883,12543.06075
171.0069282,4229.912177,190.4845972,6900.782842,211.4654789,11575.1922
197.8879144,3878.519233,202.1610589,6554.965208,205.6677349,12330.68331
176.4858668,4245.514001,204.7971387,7473.490651,225.371803,11076.3142
172.4230163,4604.922407,175.4488256,6515.040438,298.6670804,11780.36324
156.2878664,4339.475603,195.2078743,6875.316877,195.6012828,10993.46362
177.2164614,4405.927343,229.9490511,6507.163582,224.5547812,14520.5683
190.6621776,4352.585037,175.7161174,6594.187884,210.9259887,11697.7751
203.6843383,4443.60913,238.506572,6279.426288,273.8168831,11161.21747
239.2148278,4299.434628,185.9813206,6355.793725,287.8412666,13477.3217
240.5752227,4314.07891,200.4746454,7195.642696,205.5466685,11663.40736
151.5025113,4038.223096,233.6544619,8426.49804,181.3722558,12585.58482
201.1529086,4021.980442,155.3837175,7114.541375,183.918241,10884.25885
261.5672016,5166.819227,179.6000304,6441.803838,181.4782856,11710.10349
157.4734659,4105.139648,214.7544212,6884.205567,210.9487224,13737.38337
146.0598817,4142.093144,199.915591,7371.98214,225.0862782,12345.76101
144.6532464,4795.58551,292.5223551,6473.436986,286.1363628,14000.79997
169.6973302,4263.224726,189.2841475,6948.669118,340.4428401,13872.0044
168.6855597,4251.173006,250.3497071,6857.487399,184.4278312,12139.00799
248.0764246,4039.307921,156.3503451,6530.450072,280.5932117,13413.03152
162.282449,4166.743088,215.6653829,7661.221848,195.9803126,14668.94254
182.7325583,5485.70871,155.9003131,7175.615154,291.4302917,11556.79537
149.9566593,4207.704589,156.6263864,6807.676159,196.9265583,14383.22914
266.7794106,4677.127846,211.4998069,6518.940061,234.5735912,14357.71693
183.6895912,4395.095804,200.6888933,6463.639703,199.4839177,13349.58713
232.263947,4198.86606,155.7376766,7142.147721,439.9656317,11529.56332
203.4399104,4610.365536,291.5285196,7043.697735,211.6813765,12529.7651
