var2_256_VB,var2_256_VNPC,var2_512_VB,var2_512_VNPC,var2_1024_VB,var2_1024_VNPC
0.147340255,0.167616453,0.116343567,0.098010702,0.041832068,0.097752077
0.157415653,0.12204627,0.09481678,0.109760802,0.074423841,0.108322662
0.175018856,0.104544887,0.062232702,0.0937484,0.051076062,0.088026815
0.127203955,0.107726444,0.093129202,0.093151413,0.068088593,0.075356813
0.111364695,0.171671692,0.051224472,0.104171949,0.043653943,0.078951714
0.11808301,0.080907029,0.090837582,0.135066637,0.055789469,0.093720342
0.092911736,0.092680201,0.092124754,0.070646273,0.074469091,0.107781561
0.092084896,0.122203579,0.050677838,0.071618928,0.077805019,0.067366197
0.105928262,0.128294199,0.066390087,0.095390361,0.050451767,0.082384517
0.14303237,0.153719226,0.089215989,0.111311443,0.101629866,0.104617308
0.153406022,0.158267284,0.092358293,0.053163319,0.053633594,0.08594858
0.144118667,0.110588508,0.066883502,0.072588546,0.072865223,0.06671081
0.113071499,0.143250679,0.11239288,0.086701289,0.125423333,0.077933023
0.054949509,0.106740252,0.130552897,0.090612501,0.06259643,0.098797637
0.172050135,0.077740006,0.133014167,0.073266661,0.04356283,0.091765421
0.120295034,0.111503626,0.062176032,0.104402324,0.087873422,0.091590146
0.100730659,0.124486215,0.086657633,0.087774888,0.055237705,0.074254596
0.113477625,0.15309762,0.1184236,0.082184168,0.0668938,0.053706557
0.16284695,0.128286809,0.062785966,0.091849648,0.052013174,0.089898909
0.104847859,0.07365867,0.099017069,0.107347217,0.06155233,0.101386283
0.086550679,0.132016391,0.120009403,0.089828349,0.042942687,0.067081363
0.138704314,0.170804421,0.100742471,0.111773655,0.049568326,0.097809705
0.133002185,0.101250723,0.063548966,0.114462566,0.067526647,0.088101613
0.110761461,0.250018691,0.10001386,0.070659909,0.064960194,0.069667808
0.120921928,0.119265116,0.04382392,0.096538721,0.072117975,0.066683498
0.095704231,0.115758403,0.09746979,0.085105172,0.089290439,0.100062163
0.122092409,0.156388503,0.076395708,0.094100108,0.06365045,0.061873955
0.104331892,0.108702528,0.112232929,0.076205828,0.05251641,0.084472964
0.208739633,0.13371488,0.116192794,0.082272894,0.066460546,0.08719762
0.109779169,0.124657966,0.032612664,0.129759581,0.07545761,0.08759804
0.141848315,0.149215177,0.085248517,0.150220169,0.046135645,0.083691283
0.136610258,0.092720535,0.096077446,0.121029681,0.060982724,0.09976692
0.109609212,0.172380255,0.069645042,0.124429213,0.042364394,0.079667345
0.098398226,0.092937391,0.076641406,0.098834119,0.052620513,0.077922537
0.148168192,0.086197536,0.077945,0.139224802,0.063473988,0.068559713
0.072125537,0.124831049,0.077740207,0.081860785,0.047226923,0.102480126
0.132611908,0.10988627,0.082904315,0.111711818,0.068939472,0.078163415
0.082450478,0.130832422,0.096723186,0.135855449,0.111206122,0.087590318
0.115865702,0.161548367,0.104729753,0.098564913,0.070733747,0.077510888
0.127646083,0.144503835,0.09746832,0.10577864,0.08570273,0.083623174
0.140096929,0.142913206,0.079234068,0.133693995,0.076207678,0.065086928
0.155355512,0.152353396,0.064400406,0.069446855,0.082108343,0.109157053
0.126075376,0.124491727,0.081424128,0.113374892,0.040474916,0.09546082
0.189628688,0.148879342,0.151381262,0.083041185,0.048426013,0.061843578
0.13212689,0.108107673,0.049720211,0.08298461,0.063368314,0.066432795
0.13611091,0.092086453,0.11934065,0.101183315,0.06891004,0.084083252
0.15132339,0.12004742,0.090805084,0.079305727,0.060858562,0.076105898
0.129404477,0.109237658,0.056724377,0.151396019,0.071562875,0.060962417
0.112400136,0.123326455,0.129592476,0.094047791,0.06289781,0.071080221
0.076687912,0.160806325,0.122801114,0.093253074,0.074221446,0.079579969
0.191633652,0.11292107,0.081837218,0.170144102,0.071754855,0.080619649
0.147637291,0.314308562,0.050741746,0.09255252,0.064426992,0.090835125
0.085722419,0.131799349,0.079801982,0.083006402,0.04843575,0.086385691
0.13806256,0.095632224,0.09830632,0.123485701,0.074545604,0.08929476
0.08893388,0.1007741,0.06084419,0.095983612,0.060943799,0.084094923
0.155746688,0.142446763,0.075840668,0.131692637,0.063682809,0.078795859
0.165471793,0.114514384,0.058346108,0.10658087,0.075301837,0.089825277
0.1341964,0.110945456,0.08839812,0.073357288,0.064207601,0.076338757
0.13971806,0.130503179,0.054841184,0.128467187,0.071161672,0.093555428
0.114511065,0.149119583,0.092270685,0.086583961,0.045937169,0.116496617
0.10798905,0.174544198,0.068107377,0.066184958,0.050846043,0.080140477
0.071311191,0.072940072,0.047143252,0.074590872,0.056613636,0.086507167
0.094904187,0.12454587,0.126690973,0.10476516,0.061375056,0.082588853
0.094991361,0.15775076,0.066139523,0.156807302,0.058797934,0.069390459
0.098358883,0.10878354,0.071692171,0.09323564,0.074293749,0.057332598
0.138789085,0.122667415,0.100870429,0.116033327,0.08292674,0.072931852
0.086216217,0.171829902,0.07388507,0.114118797,0.085561796,0.065527312
0.136144428,0.176579827,0.107532498,0.063124694,0.066433119,0.071471373
0.089151268,0.160597849,0.086997749,0.080541839,0.071204906,0.093143556
0.105731403,0.110543733,0.076391543,0.102568962,0.072228549,0.099458675
0.139888094,0.137105339,0.065434111,0.111798613,0.089255107,0.056128084
0.065284635,0.081201356,0.099688538,0.06831254,0.056345921,0.104510626
0.131413524,0.10726714,0.064388905,0.0856418,0.084844534,0.082855613
0.148768018,0.152591439,0.100840401,0.059210557,0.070727232,0.11045174
0.209383207,0.13142154,0.133902504,0.092993338,0.050992755,0.082523712
0.12806591,0.122423678,0.046503042,0.156709138,0.039280695,0.068913938
0.183193431,0.113802354,0.113843109,0.1389024,0.073361944,0.073364274
0.085233394,0.123495084,0.138347374,0.135836433,0.059166949,0.052300789
0.113288596,0.085135773,0.138443476,0.05664148,0.096644471,0.096488292
0.079674962,0.095141712,0.098888505,0.1131443,0.059328719,0.057521722
0.113529176,0.105517417,0.112075831,0.09866982,0.076323638,0.096634992
0.116750769,0.097898155,0.143218962,0.07729895,0.087697598,0.072748766
0.103218336,0.180479957,0.124243813,0.11954506,0.054502441,0.078298011
0.20098715,0.16921047,0.112895086,0.087422528,0.060627881,0.094710696
0.124873087,0.141970915,0.046954353,0.066801411,0.079854794,0.077645592
0.133443797,0.130751989,0.069911231,0.077365329,0.0486104,0.072817617
0.144166417,0.151879528,0.111116894,0.100249756,0.051143938,0.092184623
0.158594392,0.083323371,0.072729842,0.093771426,0.072538989,0.050326891
