var2_256_SGVB,var2_256_VNPC,var2_512_SGVB,var2_512_VNPC,var2_1024_SGVB,var2_1024_VNPC
327.5882003,5435.496497,323.6632757,8408.55249,313.1748624,18853.42479
263.039762,5658.398365,300.2372994,8454.607901,340.7312441,18326.34934
349.2375066,5282.045246,299.3894541,10011.47891,349.8277857,16470.39957
277.6506991,6297.374037,307.8949234,9929.577066,341.707052,19387.07145
271.1341867,5169.581389,389.6734698,12501.22001,314.4759467,20604.41678
278.3641291,5589.412709,290.6302133,11348.50628,405.3973367,18124.34387
274.1995721,5065.940701,313.6337857,12932.26046,332.2434936,18006.44401
263.8148518,5250.957705,304.2172928,10677.43685,317.344986,13053.8659
275.3590968,5382.394745,332.9334869,8374.916072,299.2508283,18203.43231
263.0579324,6716.272425,280.5800476,9009.75614,306.3723216,14752.72701
289.7063737,4862.935524,288.121146,10118.49297,316.710453,17716.09517
265.6341116,6200.559945,297.5812209,12300.65886,335.8523123,22805.08702
308.5112526,5056.410066,297.5023935,8960.631158,335.8719311,23289.52994
328.0266962,5418.916938,285.5495307,8872.248865,330.9598382,14443.51302
331.6024978,4838.122373,303.3395202,13721.93435,348.978451,18293.25121
279.3819849,4987.626159,280.4844103,12092.80879,310.1001825,15754.46411
329.7717566,4758.948031,298.334533,10786.41942,338.5896392,17200.40635
348.014482,5435.233281,338.3026607,12913.96336,400.8196332,15190.2852
340.1574802,4977.552807,280.8550744,9197.723181,360.095901,15045.85599
275.9782181,5821.148276,305.5913165,8181.258803,334.0764475,16537.17467
327.3973286,5359.054113,284.111778,7822.075084,313.0867896,19528.60957
327.9408348,5557.300595,300.3528609,11890.8577,353.5994358,20509.94377
279.9531004,5057.59779,277.1868,9234.570341,473.6161771,25863.28196
404.0428772,5395.467384,367.608243,10217.58546,422.0909612,20364.23955
275.2516046,5673.054412,295.9757969,10776.01039,484.6365807,20575.41594
333.5788417,5017.488348,283.8837373,11115.7487,456.109107,18257.9772
278.1321747,6887.114113,318.0094156,8752.390596,308.2357664,18075.60566
289.045979,5739.056956,313.8315663,10437.87995,324.8553507,20818.54267
280.7629125,6946.049605,281.5156436,10198.5606,330.8963051,17594.82163
280.3283784,4702.114272,364.9595904,8102.492429,349.0857487,18445.5336
326.8315024,7804.352558,336.0741925,8857.706507,302.8555188,17276.55847
275.0777731,6530.810614,324.6880805,17956.50639,352.790411,17979.70938
329.3246651,10253.85908,283.1032002,10404.0134,348.891922,17720.40452
262.1388974,5532.542237,289.1816492,9464.015532,303.7321553,24794.3958
265.7009985,5275.82288,325.1268184,7691.555263,487.2063487,17284.86834
271.8413801,5846.190193,306.5779355,7777.516419,347.0236762,21992.91889
327.6259577,4955.203374,457.3156326,8357.946014,335.9203732,17968.67543
263.8668773,5975.816384,277.3553264,8712.074476,345.4309361,21166.34296
340.7947917,5124.661512,310.1700025,9295.705139,346.0159945,17636.59226
311.2406344,6625.109413,280.364851,9416.620095,319.5677879,21342.16435
279.578104,5025.977775,397.7510519,7986.908978,394.5792685,14663.45813
343.8087871,5473.914695,357.5574689,10444.56639,433.8777938,15036.7135
316.1705008,5933.396826,312.9654975,11056.77918,360.6979783,17209.75584
315.1200418,4982.847518,378.8683999,9117.106715,506.1084201,21598.77712
337.984216,5030.322486,299.4283199,8963.602909,314.6698208,21732.27503
285.4930675,4619.527647,308.8968475,10789.53766,317.4371395,20864.74906
261.3784668,6485.451992,283.9300828,8501.528508,385.5229862,20232.88477
333.9129329,5808.631351,290.3961029,10250.79366,315.7589924,19506.82507
281.2490661,5497.947384,287.3955503,10331.20908,312.447546,22019.21841
278.0638657,5701.554161,282.2105343,10045.16346,457.762852,23239.37085
277.1223974,5050.861551,286.1107194,9385.584848,379.8284006,15494.70371
280.7495332,4877.210358,299.4859319,9922.542633,425.5456884,16711.74261
352.1524274,4965.564026,283.7359722,9497.835796,324.7645018,17713.0648
277.1437647,4887.364708,295.2573423,9934.733189,313.6718736,20220.7744
328.6503203,6544.130059,288.0201917,9296.40684,355.7674706,15930.9716
346.3375807,4740.080266,298.3388457,9046.561344,348.4707184,15432.95798
266.8746903,6171.150316,319.8862581,8313.090801,359.4246228,16184.38137
335.4842889,4759.124535,332.667743,8553.425632,318.2508879,15778.65801
275.7281036,5450.363235,301.8527405,15601.75718,362.3657949,20465.09938
325.4758675,5253.749663,395.2128305,8881.382063,317.176537,18542.31324
332.6236944,7378.133739,301.6289227,13422.70924,421.8299706,18833.75266
270.5829723,5920.352226,306.0652928,8529.55637,348.8316135,15208.23248
315.4678795,7163.073163,329.8877943,10012.11487,343.326272,18167.28817
286.551249,4955.058278,296.9707804,8302.366243,354.6962478,20522.26773
262.0944085,6376.269126,297.8417354,9451.620512,388.1866977,23236.8041
331.7032936,4994.701593,389.7572548,11372.11383,310.6342025,16586.59177
312.6664274,6476.868789,288.2330971,17785.23469,347.4805937,15207.20422
271.4906387,5308.491774,334.2226143,12330.72709,393.1917906,17797.90872
