vma1_256_VB,vma1_256_VNPC,vma1_512_VB,vma1_512_VNPC,vma1_1024_VB,vma1_1024_VNPC
0.101935764,0.071433492,0.10192608,0.058443206,0.061036778,0.098666495
0.10814257,0.145299885,0.089652504,0.07821588,0.088129291,0.04483013
0.19939361,0.049851685,0.079504148,0.071408345,0.067915054,0.078107841
0.175618915,0.126407195,0.148128876,0.078450675,0.049027111,0.053322077
0.168733432,0.113078811,0.112357085,0.080882571,0.102304631,0.063596432
0.164456871,0.134682564,0.072524307,0.048272365,0.059355612,0.056949883
0.098310256,0.114644464,0.061109774,0.132160662,0.09775412,0.047570882
0.139238953,0.102059808,0.104914417,0.104594104,0.068177966,0.061853539
0.166802432,0.080799158,0.120747982,0.085442611,0.074978672,0.070429225
0.154680496,0.069925198,0.122087422,0.100867708,0.046704569,0.051444316
0.112259152,0.058108086,0.070881527,0.104192348,0.06418656,0.050483925
0.17019117,0.132641401,0.108345858,0.052964442,0.091824196,0.058577113
0.19203831,0.140375007,0.086533997,0.060557905,0.064824592,0.072468554
0.169914533,0.074881899,0.118571209,0.067292797,0.0700217,0.035434081
0.146355619,0.110266058,0.087408493,0.064091399,0.090142548,0.042527266
0.087227619,0.090166997,0.171778779,0.101944695,0.05094215,0.060174802
0.202153402,0.071891018,0.091417721,0.073965216,0.057939229,0.075773635
0.1989701,0.111497764,0.098561779,0.068425645,0.057078649,0.058943355
0.179466139,0.059737264,0.086208886,0.075037804,0.067199484,0.090229277
0.08407909,0.058368928,0.158050109,0.055872888,0.072696098,0.048975718
0.153779591,0.106038754,0.165465985,0.048075716,0.055414251,0.062991791
0.191065421,0.098216683,0.10612769,0.057784965,0.048600651,0.056245583
0.185938631,0.097293284,0.084229034,0.09378106,0.097938117,0.069617988
0.124353146,0.131713643,0.105850968,0.085291184,0.084925903,0.047658868
0.112021098,0.162184527,0.101371264,0.031482147,0.057002407,0.068059822
0.099561814,0.10009995,0.082127468,0.056615637,0.044985657,0.061642324
0.208720333,0.057918743,0.088897028,0.127537355,0.051151882,0.040505096
0.17856908,0.135334202,0.081752567,0.039701406,0.075687358,0.040935895
0.183138751,0.075049846,0.129424466,0.073217756,0.07673696,0.035421591
0.13705684,0.087055636,0.083140722,0.069028028,0.065953691,0.048517766
0.095400447,0.083702688,0.112990779,0.057917201,0.035932438,0.050033293
0.092267162,0.151008795,0.092040936,0.07660086,0.047261238,0.059869889
0.096382392,0.093368758,0.104534226,0.062505327,0.053309379,0.075119304
0.204685371,0.127105191,0.067950465,0.04260577,0.072281224,0.089910511
0.156686385,0.138889768,0.084953247,0.058650244,0.069416023,0.064630223
0.121768083,0.091166627,0.118215804,0.101280802,0.057803773,0.050511041
0.076761344,0.096594593,0.072368402,0.075387856,0.095583366,0.067138301
0.102591246,0.050203767,0.119058841,0.110878844,0.083672779,0.062756085
